Location,Batch_no,Tin_no,Sample_ID,Lab_dupe,Collection_date,TSS_Analysis_date,Dirty_weight_date,volume_mL,clean_dry_mass_g,dirty_dry_mass_1-g,dirty_dry_mass_2_g,sediment_mass_mg,TSS_mg/L,pH,EC_mS/cm,pH_EC_datetime,Sample_type,Lab_technicians,Out_of_Hold_Time,BAD_GOOD,Notes,,,,
Steamboat,4,8,SCI-02-GB-4,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.2182,1.2185,,0.3,10,8.36,0.388,6/5/23 11:40,,Person A,FALSE,,,,,,
Steamboat,4,9,SCI-02-GB-4-D,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.2131,1.2134,,0.3,10,8.37,0.387,6/5/23 11:40,,Person A,FALSE,,,,,,
Steamboat,4,10,SCO-02-GB-4,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.2038,1.2039,,0.1,3.333333333,8.47,0.39,6/5/23 11:40,,Person A,FALSE,,,,,,
,4,42,Stock Solution,,6/4/2023,6/4/2023,6/8/2023,30,1.2376,1.2407,,3.1,103.3333333,,,,,Person A,FALSE,Good,,,,,
,5,43,DI,,6/4/2023,6/4/2023,6/8/2023,30,1.216,1.216,,0,0,,,,,Person A,FALSE,Good,,,,,
Steamboat,5,44,SCO-02-GB-4-D,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.2197,1.22,,0.3,10,8.42,0.39,6/5/23 11:40,,Person A,FALSE,,,,,,
Steamboat,5,45,TR-02-GB-4,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.1967,1.1975,,0.8,26.66666667,8.22,0.176,6/5/23 11:40,,Person A,FALSE,,,,,,
Steamboat,5,46,TR-02-GB-4-D,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.2124,1.2132,,0.8,26.66666667,8.12,0.154,6/5/23 11:40,,Person A,FALSE,,,,,,
Steamboat,5,47,MOR-02-GB-4,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.2066,1.2074,,0.8,26.66666667,7.72,0.052,6/5/23 11:40,,Person A,FALSE,,,,,,
,5,48,MOR-02-GB-4-D,FALSE,6/1/2023,6/4/2023,6/8/2023,30,1.2017,1.2114,,9.7,323.3333333,7.51,0.054,6/5/23 11:40,,Person A,FALSE,,"Don'y use this value in the future, bad error",,,,
,6,23,DI,,6/12/2023,6/12/2023,6/25/2023,30,1.2182,1.2182,,0,0,,,,,Person A,FALSE,Good,,,,,
,6,24,Stock Solution,,6/12/2023,6/12/2023,6/25/2023,30,1.2142,1.2173,,3.1,103.3333333,,,,,Person A,FALSE,Good,,,,,
Yampa,6,25,UYM-02-IN-LC-4,FALSE,6/8/2023,6/12/2023,6/25/2023,30,1.2021,1.2021,,0,0,8.05,0.16,6/14/23 3:00,,Person A,FALSE,,,,,,
Yampa,6,26,UYM-02-IN-LC-4-D,FALSE,6/8/2023,6/12/2023,6/25/2023,30,1.1915,1.1915,,0,0,7.99,0.16,6/14/23 3:00,,Person A,FALSE,,,,,,
Yampa,6,27,UYM-02-OT-ISC-4-1,FALSE,6/8/2023,6/12/2023,6/25/2023,30,1.214,1.2143,,0.3,10,7.89,0.21,6/14/23 3:00,,Person A,FALSE,,,,,,
